2017-09-22 11:02:33,c8 00 00 00 00 00
2017-09-22 11:02:34,c8 00 00 00 00 00
2017-09-22 11:02:35,c8 00 00 00 00 00
2017-09-22 11:02:36,c8 00 00 00 00 00
2017-09-22 11:02:37,c8 00 00 00 00 00
2017-09-22 11:02:38,c8 00 00 00 00 00
2017-09-22 11:02:39,c8 00 00 00 00 00
2017-09-22 11:02:40,c8 00 00 00 00 00
2017-09-22 11:02:41,c8 00 00 00 00 00
2017-09-22 11:02:42,c8 00 00 00 00 00
2017-09-22 11:02:43,c8 00 00 00 00 00
2017-09-22 11:02:44,c8 00 00 00 00 00
2017-09-22 11:02:45,c8 00 00 00 00 00
2017-09-25 10:36:22,c8 b2 1e 49 15 41
2017-09-25 10:36:29,c8 b2 1e 49 15 41
2017-09-25 10:36:34,c8 b2 1e 49 15 41
2017-09-25 10:36:39,c8 b2 1e 49 15 41
2017-09-25 10:37:01,c8 b2 1e 47 be 3c
2017-09-25 10:38:31,c8 b2 1e 49 15 41
2017-09-25 10:38:45,c8 b2 1e 47 be 3c
2017-10-16 11:18:43,c8 b2 1e 41 e3 16
2017-10-16 11:19:05,c8 b2 1e 41 e3 4c
2017-10-16 11:19:16,c8 b2 1e 41 e3 07
2017-10-16 11:19:43,c8 b2 1e 41 e3 3f
2017-10-16 11:19:52,c8 b2 1e 41 e2 f0
2017-10-16 11:20:09,c8 b2 1e 41 e3 25
2017-10-16 11:20:15,c8 b2 1e 41 e3 34
2017-10-16 11:20:22,00 00 00 00 00 00
2017-10-16 11:20:28,c8 b2 1e 41 e2 fc
2017-10-16 11:20:33,c8 b2 1e 41 e2 fc
2017-10-16 11:22:47,c8 b2 1e 41 e3 34
2017-10-16 11:22:51,c8 b2 1e 41 e3 34
2017-10-16 11:22:54,c8 b2 1e 41 e3 34
2017-10-16 11:22:57,c8 b2 1e 41 e3 34
2017-10-16 11:23:00,c8 b2 1e 41 e3 34
2017-10-16 11:23:03,c8 b2 1e 41 e3 34
2017-10-16 11:23:07,c8 b2 1e 41 e3 34
2017-10-16 11:23:10,c8 b2 1e 41 e3 34
2017-10-16 11:23:14,c8 b2 1e 41 e3 34
2017-10-16 11:23:17,c8 b2 1e 41 e3 34
2017-10-16 11:23:21,c8 b2 1e 41 e3 34
2017-10-16 11:25:21,c8 b2 1e 41 e3 34
2017-10-16 11:39:00,c8 b2 1e 41 e3 34
2017-10-16 11:45:12,c8 b2 1e 41 e3 34
2017-10-16 12:58:51,c8 b2 1e 41 e2 7a
2017-10-16 12:58:57,c8 b2 1e 41 e2 9a
2017-10-16 12:59:03,c8 b2 1e 41 e2 a5
2017-10-16 12:59:24,c8 b2 1e 41 da 57
2017-10-16 12:59:29,c8 b2 1e 41 aa 97
2017-10-16 12:59:38,c8 b2 1e 41 aa 58
2017-10-16 12:59:47,c8 b2 1e 41 aa 88
2017-10-16 12:59:54,c8 b2 1e 41 aa 49
2017-10-16 13:00:00,c8 b2 1e 41 aa d4
2017-10-16 13:00:05,c8 b2 1e 41 bd 08
2017-10-16 13:00:11,c8 b2 1e 41 a9 30
2017-10-16 13:00:22,c8 b2 1e 41 e2 bf
2017-10-16 13:00:33,c8 b2 1e 41 a8 9c
2017-10-16 13:00:42,c8 b2 1e 41 aa bd
2017-10-16 13:00:48,c8 b2 1e 41 aa b4
2017-10-16 13:00:51,00 00 00 00 00 00
2017-10-16 13:00:54,c8 b2 1e 41 a8 eb
2017-10-16 13:00:57,c8 b2 1e 41 a8 eb
2017-10-16 13:01:07,c8 b2 1e 41 aa c8
2017-10-16 13:01:17,c8 b2 1e 41 c9 9a
2017-10-16 13:01:24,c8 b2 1e 41 a8 fc
2017-10-16 13:01:32,c8 b2 1e 41 aa 26
2017-10-16 13:01:39,c8 b2 1e 41 a8 fa
2017-10-16 13:01:46,c8 b2 1e 41 aa 55
2017-10-16 13:01:52,c8 b2 1e 41 a9 16
2017-10-16 13:02:49,c8 b2 1e 41 aa 9e
2017-10-16 13:03:55,c8 b2 1e 41 e2 b1
2017-10-16 13:04:04,c8 b2 1e 41 aa 9e
2017-10-16 13:04:16,c8 b2 1e 41 c2 fc
2017-10-16 13:04:23,00 00 00 00 00 00
2017-10-16 13:04:30,c8 b2 1e 41 e2 a5
2017-10-16 13:04:41,c8 b2 1e 41 f4 88
2017-10-16 13:04:48,c8 b2 1e 41 f4 74
2017-10-16 13:05:43,c8 b2 1e 41 e2 86
2017-10-16 13:05:57,c8 b2 1e 41 f9 3d
2017-10-16 13:06:05,c8 b2 1e 41 dd a5
2017-10-16 13:06:13,c8 b2 1e 41 da 57
2017-10-16 13:29:45,00 00 00 00 00 00
2017-10-16 13:40:55,c8 b2 1e 41 a7 f5
2017-10-16 13:41:08,c8 b2 1e 41 aa 7d
2017-10-16 13:41:21,c8 b2 1e 41 a9 47
2017-10-16 13:41:27,c8 b2 1e 41 c2 4c
2017-10-16 13:41:33,c8 b2 1e 41 a8 e7
2017-10-16 13:41:41,c8 b2 1e 41 aa 7c
2017-10-16 13:41:47,c8 b2 1e 41 b9 57
2017-10-16 13:41:52,c8 b2 1e 41 c3 08
2017-10-16 13:41:58,c8 b2 1e 41 c2 bb
2017-10-16 13:42:06,c8 b2 1e 41 a8 82
2017-10-16 13:42:12,c8 b2 1e 41 aa a6
2017-10-16 13:42:19,c8 b2 1e 41 f4 3f
